farmer_id,name,district,taluka,village,land_area_acres,soil_type,irrigation_type
F0001,Rajendra Jadhav,Sangli,Walwa,Islampur,3.7,Laterite,Drip
F0002,Lata More,Latur,Udgir,Devangaon,0.9,Red,Canal
F0003,Jyoti Zende,Pune,Shirur,Talegaon Dhamdhere,10.9,Laterite,Well
F0004,Sushma Waghmare,Aurangabad,Sillod,Amba,12.2,Black,Flood
F0005,Sunil Sable,Satara,Wai,Bavdhan,3.6,Alluvial,Borewell
F0006,Nitin More,Kolhapur,Karvir,Uchgaon,12.8,Clayey,Borewell
F0007,Prakash Ghadge,Nanded,Bhokar,Loni,1.6,Sandy,Flood
F0008,Chandrakant Vanjari,Ahmednagar,Rahata,Shirdi,10.1,Alluvial,Borewell
F0009,Anil Waghmare,Nashik,Dindori,Umrale,7.1,Alluvial,Borewell
F0010,Sunil Pardeshi,Satara,Phaltan,Sasewadi,10.7,Laterite,Rainfed
F0011,Santosh Zende,Beed,Ambajogai,Bardapur,2.9,Loamy,Borewell
F0012,Namdev Shelke,Pune,Indapur,Bhigwan,12.2,Loamy,Borewell
F0013,Rahul Mane,Latur,Renapur,Ghongaon,10.0,Loamy,Rainfed
F0014,Sarita Bhosale,Solapur,Barshi,Vairag,11.3,Clayey,Borewell
F0015,Mangal Yadav,Kolhapur,Shirol,Kurundwad,15.0,Red,Well
F0016,Sangita More,Pune,Baramati,Katewadi,9.6,Alluvial,Rainfed
F0017,Mangal Zende,Nashik,Dindori,Chausala,9.1,Loamy,Well
F0018,Popat Tambe,Pune,Baramati,Undavdi,11.6,Sandy,Drip
F0019,Gorakh Sable,Jalgaon,Bhusawal,Bahadarpur,14.3,Laterite,Borewell
F0020,Jyoti Salunkhe,Nanded,Bhokar,Loni,12.7,Clayey,Well
F0021,Shivaji Bhosale,Satara,Phaltan,Nirgudi,9.2,Loamy,Drip
F0022,Rajendra Pardeshi,Solapur,Barshi,Vairag,4.0,Clayey,Drip
F0023,Anil Lokhande,Nashik,Yeola,Nagade,2.4,Loamy,Well
F0024,Manoj Suryawanshi,Nanded,Hadgaon,Chikhali,14.5,Clayey,Flood
F0025,Shivaji Joshi,Kolhapur,Shirol,Jaysingpur,13.5,Loamy,Drip
F0026,Bhausaheb Waghmare,Nashik,Malegaon,Zodge,9.0,Red,Well
F0027,Namdev Patil,Nashik,Sinnar,Musalgaon,1.5,Black,Flood
F0028,Vinod Deshmukh,Nanded,Kandhar,Umri,10.2,Red,Well
F0029,Deepak Vanjari,Latur,Udgir,Devangaon,11.9,Alluvial,Sprinkler
F0030,Ravindra Kale,Nashik,Dindori,Umrale,6.6,Loamy,Flood
F0031,Dilip Kale,Pune,Purandar,Jejuri,12.1,Black,Canal
F0032,Ravindra Jagtap,Nanded,Naigaon,Bondar,6.6,Sandy,Sprinkler
F0033,Bhausaheb Deshmukh,Aurangabad,Sillod,Bharadi,1.2,Clayey,Flood
F0034,Suresh More,Ahmednagar,Shrirampur,Bhokar,7.5,Red,Flood
F0035,Kavita Pawar,Jalgaon,Bhusawal,Bahadarpur,14.8,Sandy,Flood
F0036,Sarita Kulkarni,Kolhapur,Gadhinglaj,Nesari,2.7,Sandy,Canal
F0037,Ganesh Yadav,Sangli,Jat,Umadi,11.3,Black,Drip
F0038,Nirmala Mohite,Nanded,Kandhar,Fulwal,14.4,Black,Flood
F0039,Bharat Deshmukh,Latur,Ausa,Killari,6.4,Clayey,Canal
F0040,Prakash Aher,Nashik,Dindori,Umrale,14.1,Red,Rainfed
F0041,Sachin Nikam,Solapur,Karmala,Kem,10.2,Sandy,Sprinkler
F0042,Sachin Deshmukh,Pune,Purandar,Saswad,1.6,Red,Well
F0043,Eknath Chavan,Satara,Karad,Kale,5.9,Red,Sprinkler
F0044,Lata Joshi,Latur,Chakur,Mangrul,10.2,Clayey,Borewell
F0045,Nitin Chavan,Solapur,Pandharpur,Gopalpur,11.3,Red,Borewell
F0046,Hanumant Zende,Ahmednagar,Kopargaon,Sangamner Bk,10.5,Alluvial,Borewell
F0047,Jyoti Lokhande,Solapur,Pandharpur,Gopalpur,9.7,Alluvial,Borewell
F0048,Prakash Patil,Satara,Phaltan,Sasewadi,2.8,Loamy,Well
F0049,Mangal Tambe,Pune,Baramati,Wadgaon,14.2,Laterite,Canal
F0050,Lata Shinde,Satara,Man,Dahiwadi,6.7,Black,Borewell
F0051,Chandrakant Shinde,Satara,Phaltan,Nirgudi,10.2,Sandy,Flood
F0052,Anita Aher,Sangli,Tasgaon,Manjarde,13.0,Alluvial,Flood
F0053,Kishor Bhoir,Pune,Indapur,Sanaswadi,13.9,Alluvial,Sprinkler
F0054,Bhausaheb Thorat,Jalgaon,Chopda,Vadali,13.1,Alluvial,Sprinkler
F0055,Namdev Jagtap,Aurangabad,Vaijapur,Lasur,12.4,Alluvial,Canal
F0056,Namdev Jadhav,Beed,Ambajogai,Manoli,5.3,Alluvial,Drip
F0057,Laxman Gawali,Beed,Ashti,Karanjwan,10.4,Alluvial,Well
F0058,Vinod Jadhav,Nashik,Malegaon,Dabhadi,8.9,Sandy,Drip
F0059,Nitin Zende,Kolhapur,Shirol,Jaysingpur,6.8,Clayey,Drip
